n_e,T_e,B,xi,alpha,t,ripple_initial,ripple_dynamic,yield,E_total,fom,eta
1e+20,5.0,5.0,4.0,0.01,1.0,9.72774410863434e-06,9.630466667544703e-06,3e+21,1000000.0,30000000.0,True
1e+20,10.0,5.0,1.0,0.0,0.01,1.0256557236814847e-05,1.0256557236814847e-05,3e+21,10000.0,3000000000.0,True
1e+20,10.0,5.0,1.0,0.0,0.1,9.895956749499037e-06,9.895956749499037e-06,3e+21,100000.0,300000000.0,True
1e+20,10.0,5.0,1.0,0.0,1.0,9.57748550359038e-06,9.57748550359038e-06,3e+21,1000000.0,30000000.0,True
1e+20,10.0,5.0,1.0,0.01,0.01,9.59706574206379e-06,9.596106035493773e-06,3e+21,10000.0,3000000000.0,True
1e+20,10.0,5.0,1.0,0.01,0.1,1.0638183994917686e-05,1.0627545810922545e-05,3e+21,100000.0,300000000.0,True
1e+20,10.0,5.0,1.0,0.01,1.0,8.871932869864266e-06,8.783213541163792e-06,3e+21,1000000.0,30000000.0,True
1e+20,10.0,5.0,2.0,0.0,0.01,9.971950176025497e-06,9.971950176025497e-06,3e+21,10000.0,3000000000.0,True
1e+20,10.0,5.0,2.0,0.0,0.1,9.336272356153865e-06,9.336272356153865e-06,3e+21,100000.0,300000000.0,True
1e+20,10.0,5.0,2.0,0.0,1.0,9.535605241483024e-06,9.535605241483024e-06,3e+21,1000000.0,30000000.0,True
1e+20,10.0,5.0,2.0,0.01,0.01,9.300357481373109e-06,9.299427445628457e-06,3e+21,10000.0,3000000000.0,True
1e+20,10.0,5.0,2.0,0.01,0.1,1.0132316180071856e-05,1.0122183863891328e-05,3e+21,100000.0,300000000.0,True
1e+20,10.0,5.0,2.0,0.01,1.0,1.0682580326746839e-05,1.0575754523476384e-05,3e+21,1000000.0,30000000.0,True
1e+20,10.0,5.0,4.0,0.0,0.01,9.574035088257885e-06,9.574035088257885e-06,3e+21,10000.0,3000000000.0,True
1e+20,10.0,5.0,4.0,0.0,0.1,1.0767096122029062e-05,1.0767096122029062e-05,3e+21,100000.0,300000000.0,True
1e+20,10.0,5.0,4.0,0.0,1.0,9.59296873162394e-06,9.59296873162394e-06,3e+21,1000000.0,30000000.0,True
1e+20,10.0,5.0,4.0,0.01,0.01,1.029466714698067e-05,1.0293637680267575e-05,3e+21,10000.0,3000000000.0,True
1e+20,10.0,5.0,4.0,0.01,0.1,9.873467603962827e-06,9.863594136358347e-06,3e+21,100000.0,300000000.0,True
1e+20,10.0,5.0,4.0,0.01,1.0,1.0220359300410503e-05,1.0118155707406545e-05,3e+21,1000000.0,30000000.0,True
